start_dt,date,week,month,dow,dow_group,time,slot_time,slot_key,report_instructor,class_kind,checked_in,membership_checked_in,credit_checked_in,capacity,util,membership_rate,credit_rate,late_cancel,no_show,total_dropout,slot_dropout_baseline,slot_baseline_util,slot_trailing_3m_util,slot_prev_month_util,day_baseline_util,studio_baseline_util,delta_vs_slot,delta_vs_day,delta_vs_studio,delta_vs_trailing_3m,delta_vs_prev_month,slot_expected_riders,slot_lift_riders,slot_lift_util
2026-04-11 10:15:00,2026-04-11,2026-04-06/2026-04-12,2026-04,Saturday,Weekend,10:15,10:15,Weekend | 10:15,Keira Else,spin,33,25,8,41,0.8048780487804879,0.7575757575757576,0.24242424242424243,4,2,6,2.5,0.7607604017216643,0.8214634146341463,0.8184281842818428,0.6934146341463415,0.6836699487778337,0.044117647058823595,0.11146341463414633,0.12120810000265414,-0.01658536585365844,-0.013550135501354976,31.191176470588236,1.8088235294117645,0.044117647058823595
2026-04-12 09:00:00,2026-04-12,2026-04-06/2026-04-12,2026-04,Sunday,Weekend,09:00,09:00,Weekend | 09:00,Kira Rothwell,spin,38,26,12,41,0.926829268292683,0.6842105263157895,0.3157894736842105,1,0,1,2.3582089552238807,0.6894794321077539,0.7697560975609755,0.7696476964769647,0.6827377576101342,0.6836699487778337,0.2373498361849291,0.24409151068254875,0.24315931951484926,0.15707317073170746,0.15718157181571824,28.268656716417908,9.731343283582092,0.2373498361849291
2026-04-12 10:15:00,2026-04-12,2026-04-06/2026-04-12,2026-04,Sunday,Weekend,10:15,10:15,Weekend | 10:15,Micayah Coutinho,spin,39,25,14,41,0.9512195121951219,0.6410256410256411,0.358974358974359,4,1,5,2.5,0.7607604017216643,0.8214634146341463,0.8184281842818428,0.6827377576101342,0.6836699487778337,0.19045911047345765,0.2684817545849877,0.2675495634172882,0.12975609756097561,0.13279132791327908,31.191176470588236,7.8088235294117645,0.19045911047345765
2026-04-12 11:30:00,2026-04-12,2026-04-06/2026-04-12,2026-04,Sunday,Weekend,11:30,11:30,Weekend | 11:30,TEAM TEACH,team teach,41,17,24,41,1.0,0.4146341463414634,0.5853658536585366,2,0,2,2.935483870967742,0.6506687647521637,0.7560975609756097,0.7609756097560976,0.6827377576101342,0.6836699487778337,0.34933123524783627,0.3172622423898658,0.3163300512221663,0.24390243902439035,0.23902439024390243,26.67741935483871,14.322580645161288,0.34933123524783627
2026-04-12 17:00:00,2026-04-12,2026-04-06/2026-04-12,2026-04,Sunday,Weekend,17:00,17:00,Weekend | 17:00,Sydney Reed,spin,37,15,22,41,0.9024390243902439,0.40540540540540543,0.5945945945945946,8,2,10,5.225806451612903,0.6821400472069238,0.7703252032520326,0.8390243902439025,0.6827377576101342,0.6836699487778337,0.22029897718332014,0.2197012667801097,0.2187690756124102,0.13211382113821135,0.06341463414634141,27.967741935483875,9.032258064516125,0.22029897718332014
2026-04-13 06:00:00,2026-04-13,2026-04-13/2026-04-19,2026-04,Monday,MWF,06:00,06:00,MWF | 06:00,Brooke Schidowka,spin,26,18,8,41,0.6341463414634146,0.6923076923076923,0.3076923076923077,3,2,5,2.95,0.6090243902439024,0.6901779828609097,0.7636022514071296,0.7006294256490951,0.6836699487778337,0.025121951219512217,-0.0664830841856805,-0.04952360731441907,-0.05603164139749506,-0.12945590994371492,24.97,1.0300000000000011,0.025121951219512217
2026-04-13 17:30:00,2026-04-13,2026-04-13/2026-04-19,2026-04,Monday,MWF,17:30,17:30,MWF | 17:30,Keira Else,spin,36,19,17,41,0.8780487804878049,0.5277777777777778,0.4722222222222222,4,1,5,2.861111111111111,0.7632113821138211,0.8818011257035647,0.8915989159891597,0.7006294256490951,0.6836699487778337,0.11483739837398377,0.17741935483870974,0.19437883170997117,-0.0037523452157598447,-0.013550135501354865,31.291666666666664,4.708333333333336,0.11483739837398377
2026-04-13 18:35:00,2026-04-13,2026-04-13/2026-04-19,2026-04,Monday,MWF,18:35,18:35,MWF | 18:35,Sydney Reed,spin,40,21,19,41,0.975609756097561,0.525,0.475,3,1,4,2.84375,0.8213922764227642,0.9112466124661247,0.9474671669793621,0.7006294256490951,0.6836699487778337,0.1542174796747967,0.2749803304484658,0.29193980731972724,0.06436314363143625,0.02814258911819889,33.677083333333336,6.322916666666664,0.1542174796747967
2026-04-14 06:00:00,2026-04-14,2026-04-13/2026-04-19,2026-04,Tuesday,TueThu,06:00,06:00,TueThu | 06:00,Kevin Nanakdewa,spin,17,15,2,41,0.4146341463414634,0.8823529411764706,0.11764705882352941,2,0,2,2.2941176470588234,0.5032281205164992,0.5562851782363978,0.6476964769647696,0.6582409460458241,0.6836699487778337,-0.08859397417503584,-0.24360679970436067,-0.2690358024363703,-0.1416510318949344,-0.23306233062330622,20.632352941176467,-3.6323529411764675,-0.08859397417503584
2026-04-14 07:00:00,2026-04-14,2026-04-13/2026-04-19,2026-04,Tuesday,TueThu,07:00,07:00,TueThu | 07:00,Micayah Coutinho,spinco express,35,24,11,41,0.8536585365853658,0.6857142857142857,0.3142857142857143,4,4,8,2.75,0.507532281205165,0.5881801125703565,0.6693766937669376,0.6582409460458241,0.6836699487778337,0.3461262553802008,0.19541759053954177,0.16998858780753212,0.2654784240150093,0.1842818428184282,20.808823529411764,14.191176470588236,0.3461262553802008
2026-04-14 17:30:00,2026-04-14,2026-04-13/2026-04-19,2026-04,Tuesday,TueThu,17:30,17:30,TueThu | 17:30,Sydney Reed,spin,32,23,9,41,0.7804878048780488,0.71875,0.28125,1,3,4,3.5294117647058822,0.7510760401721663,0.8771106941838649,0.910569105691057,0.6582409460458241,0.6836699487778337,0.02941176470588247,0.12224685883222475,0.0968178561002151,-0.09662288930581608,-0.13008130081300817,30.79411764705882,1.205882352941181,0.02941176470588247
2026-04-14 18:35:00,2026-04-14,2026-04-13/2026-04-19,2026-04,Tuesday,TueThu,18:35,18:35,TueThu | 18:35,Jack Biggar,spin,30,21,9,41,0.7317073170731707,0.7,0.3,0,1,1,2.8676470588235294,0.813845050215208,0.8649155722326454,0.8943089430894309,0.6582409460458241,0.6836699487778337,-0.08213773314203732,0.07346637102734666,0.048037368295337,-0.13320825515947465,-0.16260162601626016,33.36764705882353,-3.367647058823529,-0.08213773314203732
2026-04-15 06:00:00,2026-04-15,2026-04-13/2026-04-19,2026-04,Wednesday,MWF,06:00,06:00,MWF | 06:00,Kevin Nanakdewa,spin,23,18,5,41,0.5609756097560976,0.782608695652174,0.21739130434782608,4,3,7,2.95,0.6090243902439024,0.6901779828609097,0.7636022514071296,0.6892037302725968,0.6836699487778337,-0.04804878048780481,-0.12822812051649923,-0.1226943390217361,-0.12920237310481208,-0.20262664165103195,24.97,-1.9699999999999989,-0.04804878048780481
2026-04-15 09:30:00,2026-04-15,2026-04-13/2026-04-19,2026-04,Wednesday,MWF,09:30,09:30,MWF | 09:30,Rich Ang,spin,21,11,10,41,0.5121951219512195,0.5238095238095238,0.47619047619047616,1,1,2,2.5217391304347827,0.5935843054082715,0.7182506307821699,0.7652439024390244,0.6892037302725968,0.6836699487778337,-0.08138918345705193,-0.17700860832137733,-0.1714748268266142,-0.20605550883095036,-0.2530487804878049,24.33695652173913,-3.336956521739129,-0.08138918345705193
2026-04-15 17:30:00,2026-04-15,2026-04-13/2026-04-19,2026-04,Wednesday,MWF,17:30,17:30,MWF | 17:30,TEAM TEACH,team teach,39,26,13,41,0.9512195121951219,0.6666666666666666,0.3333333333333333,4,0,4,2.861111111111111,0.7632113821138211,0.8818011257035647,0.8915989159891597,0.6892037302725968,0.6836699487778337,0.1880081300813008,0.26201578192252506,0.2675495634172882,0.06941838649155718,0.05962059620596216,31.291666666666664,7.708333333333336,0.1880081300813008
2026-04-15 18:35:00,2026-04-15,2026-04-13/2026-04-19,2026-04,Wednesday,MWF,18:35,18:35,MWF | 18:35,Micayah Coutinho,spin,38,21,17,41,0.926829268292683,0.5526315789473685,0.4473684210526316,5,1,6,2.84375,0.8213922764227642,0.9112466124661247,0.9474671669793621,0.6892037302725968,0.6836699487778337,0.10543699186991873,0.23762553802008612,0.24315931951484926,0.015582655826558267,-0.02063789868667909,33.677083333333336,4.322916666666664,0.10543699186991873
2026-04-16 06:00:00,2026-04-16,2026-04-13/2026-04-19,2026-04,Thursday,TueThu,06:00,06:00,TueThu | 06:00,TEAM TEACH,team teach,26,17,9,41,0.6341463414634146,0.6538461538461539,0.34615384615384615,2,2,4,2.2941176470588234,0.5032281205164992,0.5562851782363978,0.6476964769647696,0.6754641427011285,0.6836699487778337,0.1309182209469154,-0.04131780123771389,-0.04952360731441907,0.07786116322701686,-0.013550135501354976,20.632352941176467,5.3676470588235325,0.1309182209469154
2026-04-16 07:00:00,2026-04-16,2026-04-13/2026-04-19,2026-04,Thursday,TueThu,07:00,07:00,TueThu | 07:00,Jordyn Toonen,spinco express,20,12,8,41,0.4878048780487805,0.6,0.4,1,1,2,2.75,0.507532281205165,0.5881801125703565,0.6693766937669376,0.6754641427011285,0.6836699487778337,-0.01972740315638455,-0.18765926465234806,-0.19586507072905324,-0.10037523452157604,-0.18157181571815717,20.808823529411764,-0.8088235294117645,-0.01972740315638455
2026-04-16 17:30:00,2026-04-16,2026-04-13/2026-04-19,2026-04,Thursday,TueThu,17:30,17:30,TueThu | 17:30,Jadyn Clark,spin,35,21,14,41,0.8536585365853658,0.6,0.4,7,1,8,3.5294117647058822,0.7510760401721663,0.8771106941838649,0.910569105691057,0.6754641427011285,0.6836699487778337,0.1025824964131995,0.1781943938842373,0.16998858780753212,-0.023452157598499057,-0.056910569105691144,30.79411764705882,4.205882352941181,0.1025824964131995
2026-04-16 18:35:00,2026-04-16,2026-04-13/2026-04-19,2026-04,Thursday,TueThu,18:35,18:35,TueThu | 18:35,Brooke Schidowka,spin,40,27,13,41,0.975609756097561,0.675,0.325,4,1,5,2.8676470588235294,0.813845050215208,0.8649155722326454,0.8943089430894309,0.6754641427011285,0.6836699487778337,0.16176470588235292,0.3001456133964324,0.29193980731972724,0.11069418386491559,0.08130081300813008,33.36764705882353,6.632352941176471,0.16176470588235292
